0.3_stalin_desc,650_stalin_desc,783_stalin_desc,455_stalin_desc,324_stalin_desc,414_stalin_desc,615_stalin_desc,253_stalin_desc,289_stalin_desc,222_stalin_desc,383_stalin_desc,512_stalin_desc,177_stalin_desc,72_stalin_desc,185_stalin_desc,81_stalin_desc,429_stalin_desc,746_stalin_desc,490_stalin_desc,410_stalin_desc,155_stalin_desc,174_stalin_desc
,640.0,763,413.0,278.0,,,,,163.0,341.0,475.0,,,147.0,45.0,353.0,724.0,431.0,,100.0,137.0
,639.0,762,411.0,278.0,,,,,161.0,341.0,474.0,,,147.0,43.0,352.0,724.0,427.0,,100.0,136.0
,637.0,762,409.0,278.0,,,,,161.0,341.0,474.0,,,146.0,42.0,351.0,724.0,420.0,,100.0,136.0
,636.0,761,409.0,278.0,,,,,161.0,341.0,471.0,,,145.0,40.0,349.0,724.0,419.0,,100.0,135.0
,634.0,761,409.0,277.0,,,,,161.0,341.0,467.0,,,145.0,40.0,349.0,723.0,414.0,,100.0,135.0
,634.0,759,409.0,276.0,,,,,161.0,341.0,467.0,,,145.0,39.0,349.0,722.0,413.0,,98.0,135.0
,633.0,757,408.0,276.0,,,,,159.0,340.0,467.0,,,144.0,38.0,347.0,722.0,412.0,,98.0,135.0
,632.0,756,407.0,275.0,,,,,159.0,339.0,465.0,,,143.0,37.0,347.0,722.0,412.0,,96.0,135.0
,632.0,756,407.0,275.0,,,,,157.0,337.0,465.0,,,142.0,35.0,346.0,722.0,411.0,,96.0,134.0
,632.0,756,407.0,275.0,,,,,157.0,337.0,463.0,,,140.0,35.0,343.0,722.0,410.0,,93.0,133.0
,631.0,756,407.0,274.0,,,,,157.0,337.0,463.0,,,140.0,35.0,343.0,722.0,408.0,,93.0,133.0
,631.0,756,407.0,274.0,,,,,157.0,337.0,463.0,,,140.0,35.0,342.0,722.0,407.0,,91.0,133.0
,631.0,756,406.0,272.0,,,,,153.0,337.0,463.0,,,140.0,34.0,340.0,722.0,406.0,,91.0,133.0
,631.0,756,406.0,271.0,,,,,153.0,337.0,463.0,,,140.0,33.0,339.0,722.0,406.0,,89.0,133.0
,631.0,756,406.0,270.0,,,,,153.0,335.0,461.0,,,140.0,32.0,338.0,722.0,405.0,,89.0,132.0
,630.0,755,406.0,270.0,,,,,153.0,333.0,459.0,,,140.0,32.0,338.0,721.0,404.0,,87.0,132.0
,629.0,755,405.0,270.0,,,,,151.0,331.0,458.0,,,135.0,32.0,337.0,721.0,404.0,,87.0,132.0
,627.0,754,403.0,269.0,,,,,151.0,329.0,458.0,,,135.0,31.0,335.0,721.0,404.0,,87.0,131.0
,626.0,754,403.0,269.0,,,,,149.0,327.0,457.0,,,135.0,30.0,335.0,720.0,403.0,,85.0,131.0
